Open,close
279.4,278.86
281,273.18
281,277.97
255.34,274.32
244.3,241.73
216.6,223.93
201.3,215.96
193.8,201.87
198.96,191.95
190.85,197.2
198.82,192.17
199.78,200.36
199.99,198.86
202.56,200.18
200.6,200.79
197.54,198.36
202.37,196.43
183.56,198.18
196,187.06
198.04,194.57
198.38,205.01
188,188.13
183.8,189.98
175.57,177.13
177.98,172.88
177.62,176.59
178.94,176.31
171.6,179.62
161.75,167
162.7,161.16
164.17,164.05
166.9,163.77
164.43,163.38
163.2,165.52
164.1,163.11
163.03,161.6
165.56,162.73
158.07,159.83
156,160.67
164.17,158.19
165.4,161.88
158.1,162.26
158.75,163.88
155.44,156.01
155.3,156.52
157.96,153.64
140.2,152.24
151,140.26
171.04,156.38
158.03,160.1
159.13,153.82
147.52,159.75
142.16,145.03
145.52,141.13
140.8,146.42
146.02,137.34
146.54,149.27
154.46,150.78
143.39,149.04
148.4,145.97
139.79,141.98
118.03,130.19
112.42,114.6
110.84,109.77
109,109.09
102.24,103.25
101.9,96
96.21,90.89
100.8,96.31
100.25,104.8
102.05,100.43
101,102.87
109.48,105.63
109.05,107.85
95.46,101
86.72,86.86
87.64,85.51
74.94,85.53
77.8,72.24
88,86.04
93.9,89.01
119,109.32
116.18,112.11
128.04,126.85
